# Experiment IPTS-16012 Run 137848
# Run start time: 2016-02-27T02:27:17.319875666
# Reduction time: Mon Feb 29 11:23:28 2016
# Mantid version: 3.6.20160226.2001
# DataRun   NormRun   TwoTheta(deg)  LambdaMin(A)   LambdaMax(A) Qmin(1/A)    Qmax(1/A)    SF_A         SF_B         PrimaryFrac 
# 137848    137836    1.23318        13.3001        16.7001      0.0080       0.0101       1.0          0.0          0.9840      
# 137849    137837    1.234          10.8096        14.2106      0.0095       0.0125       1.0          0.0          0.9732      
# 137850    137838    1.23378        7.85958        11.2606      0.0120       0.0172       4.3780       -1.187       0.9707      
# 137851    137839    1.23408        4.87003        8.27006      0.0163       0.0277       34.039       -0.000       0.9733      
# 137852    137840    1.41317        2.55002        5.95004      0.0260       0.0607       80.344       0.0008       0.9106      
# 137853    137840    2.77079        2.55002        5.95004      0.0510       0.1191       310.61       0.0073       0.8209      
# 137854    137840    5.45341        2.55002        5.95004      0.1004       0.2344       1395.8       0.0199       0.8081      
# dQ0[1/Angstrom] = 0.0004
# dQ/Q = 0.023
# Q[1/Angstrom] R delta_R Precision
0.00813134477779 1.03349104425 0.148384796553 0.000587020929889
0.00817200150168 1.14494784151 0.155302837703 0.000587956034539
0.00821286150919 0.971489240068 0.134152018942 0.000588895814711
0.00825392581673 0.973270772049 0.137182599968 0.000589840293785
0.00829519544582 1.12426159051 0.141296787169 0.000590789495254
0.00833667142305 1.11108510286 0.140563117395 0.00059174344273
0.00837835478016 1.05621491272 0.132079632763 0.000592702159944
0.00842024655406 0.908891819675 0.123981487589 0.000593665670743
0.00846234778683 0.779784630591 0.111212401353 0.000594633999097
0.00850465952577 0.897447906576 0.11580141876 0.000595607169093
0.0085471828234 1.11780521206 0.128172277674 0.000596585204938
0.00858991873751 0.914730671328 0.113599184471 0.000597568130963
0.0086328683312 0.905373409315 0.109353367517 0.000598555971618
0.00867603267286 1.01978159775 0.117961657812 0.000599548751476
0.00871941283622 0.979601607709 0.114892276994 0.000600546495233
0.0087630099004 1.07786566529 0.115818349407 0.000601549227709
0.0088068249499 0.993083889196 0.108912406747 0.000602556973848
0.00885085907465 0.915835993157 0.10372084824 0.000603569758717
0.00889511337003 1.0094377744 0.107375572639 0.000604587607511
0.00893958893688 1.05048992525 0.108623869278 0.000605610545548
0.00898428688156 0.932723532381 0.102810173629 0.000606638598276
0.00902920831597 1.13322310594 0.107413293896 0.000607671791267
0.00907435435755 0.910792965756 0.0952535040557 0.000608710150224
0.00911972612934 1.04003315848 0.0983225643555 0.000609753700975
0.00916532475998 1.04445374078 0.100365820391 0.00061080246948
0.00921115138378 0.970914125141 0.0936696990436 0.000611856481827
0.0092572071407 1.09873652794 0.0990903195842 0.000612915764236
0.00930349317641 1.01864901646 0.0949607747866 0.000613980343057
0.00935001064229 0.911255663573 0.0884623038892 0.000615050244773
0.0093967606955 1.00656148148 0.0918741991726 0.000616125495996
0.00944374449898 0.870882212855 0.0835680073403 0.000617206123476
0.00949096322147 0.971912300667 0.0863309947989 0.000618292154094
0.00953841803758 0.984695075998 0.084817843159 0.000619383614864
0.00958611012777 1.05075745534 0.0629638080341 0.000620480532939
0.00963404067841 1.05168659588 0.0614974865258 0.000621582935603
0.0096822108818 0.873083573621 0.054953491553 0.000622690850281
0.00973062193621 0.820684964906 0.05294491387 0.000623804304533
0.00977927504589 1.00655052552 0.0570597140918 0.000624923326055
0.00982817142112 1.06073398506 0.0589952593041 0.000626047942686
0.00987731227822 0.992190314846 0.0564727104756 0.000627178182399
0.00992669883961 0.953123417993 0.0538653963424 0.000628314073311
0.00997633233381 1.01326419432 0.054872957462 0.000629455643678
0.0100262139955 0.953993589635 0.0529319597189 0.000630602921896
0.0100763450655 0.89554978129 0.0492843986138 0.000631755936506
0.0101267267908 0.801351535129 0.0458656014306 0.000632914716188
0.0101773604247 0.844918506435 0.0686213149789 0.000634079289769
